descripcion,tipo,metal,piedra,quilates,estado,costo,proveedor_o_consignante,fecha_adquisicion,notas,_fila_origen,_confianza,_nota,_pregunta_pendiente
Anillo consignación A16 - DIAMANTE NATURAL PRINCESS 70 PUNTOS G VS2,anillo,3.4 GRAMOS PLATINO CON ORO 148K,DIAMANTE NATURAL PRINCESS 70 PUNTOS G VS2,,consignacion,48000,La Jefa (mamá de Fer),,Talla NUMERO 4 1/2 | Precio venta 57000,Inventario/Anillos Jefa/R28,alta,,
Anillo consignación A27 - DIAMANTE NATURAL 88 PUNTOS K VS1,anillo,4.1 GRAMOS ORO 14K,DIAMANTE NATURAL 88 PUNTOS K VS1,,consignacion,60000,La Jefa (mamá de Fer),,Talla NUMERO 7 | Precio venta 71000,Inventario/Anillos Jefa/R29,alta,,
Brazalete Ar01,material,Oro Amarillo 14k,Rubies,,consignacion,10000,Tío Fer (joyería local),,Peso 4.8g | Precio Ellion 20000 | Diamantes: Rubies | Img A121.jpeg,Inventario/Batch Jefa Local Joyeria/R2,alta,,
Anillo Ar02,anillo,Oro blanco 18k,Diamantes,,consignacion,11000,Tío Fer (joyería local),,Peso 2.4g | Precio Ellion 22000 | Diamantes: Diamantes | Img A96.jpeg,Inventario/Batch Jefa Local Joyeria/R3,alta,,
Aretes Ar03,material,Oro amarillo 14k,Zafiros con chispitas,,consignacion,13000,Tío Fer (joyería local),,Peso 5.4g | Precio Ellion 26000 | Diamantes: Zafiros con chispitas | Img A46.jpeg,Inventario/Batch Jefa Local Joyeria/R4,alta,,
Aretes Ar04,material,Oro amarillo 14k,Brillantes 0.5ct,,consignacion,13400,Tío Fer (joyería local),,Peso 6.2g | Precio Ellion 27000 | Diamantes: Brillantes 0.5ct | Img A11.jpeg,Inventario/Batch Jefa Local Joyeria/R5,alta,,
Anillo Ar05,anillo,Oro blanco 14k,Diamantitos,,consignacion,14222,Tío Fer (joyería local),,Peso 3.1g | Precio Ellion 29000 | Diamantes: Diamantitos | Img A61.jpeg,Inventario/Batch Jefa Local Joyeria/R6,alta,,
Aretes Ar06,material,Oro blanco 14k,Brillantes con zafiros,,consignacion,15000,Tío Fer (joyería local),,Peso 5.1g | Precio Ellion 30000 | Diamantes: Brillantes con zafiros | Img A15.jpeg,Inventario/Batch Jefa Local Joyeria/R7,alta,,
Anillo Ar07,anillo,Oro Amarillo 14k,Diamantitos,,consignacion,15000,Tío Fer (joyería local),,Peso 2.6g | Precio Ellion 30000 | Diamantes: Diamantitos | Img A80.jpeg,Inventario/Batch Jefa Local Joyeria/R8,alta,,
Anillo y Aretes Ar08,anillo,Oro blanco 14k,Diamantes champagne y blancos,,consignacion,16000,Tío Fer (joyería local),,Peso 8.1g | Precio Ellion 32000 | Diamantes: Diamantes champagne y blancos | Img A26.jpeg,Inventario/Batch Jefa Local Joyeria/R9,alta,,
Anillo Ar09,anillo,Oro Amarillo 14k,Diamante central 0.40ct,,consignacion,17000,Tío Fer (joyería local),,Peso 2.2g | Precio Ellion 34000 | Diamantes: Diamante central 0.40ct | Img A106.jpeg,Inventario/Batch Jefa Local Joyeria/R10,alta,,
Anillo Ar10,anillo,Oro Blanco 14k,Diamantes,,consignacion,17000,Tío Fer (joyería local),,Peso 3.8g | Precio Ellion 34000 | Diamantes: Diamantes | Img A108.jpeg,Inventario/Batch Jefa Local Joyeria/R11,alta,,
Anillo Ar11,anillo,Oro Blanco 14k,Piedrería 0.3ct,,consignacion,17000,Tío Fer (joyería local),,Peso 3.9g | Precio Ellion 34000 | Diamantes: Piedrería 0.3ct | Img A82.jpeg,Inventario/Batch Jefa Local Joyeria/R12,alta,,
Anillo y Churumbela J1,anillo,Oro Amarillo 14k,Diamantes,,consignacion,17000,Tío Fer (joyería local),,Peso 3.96g | Precio Ellion 34000 | Diamantes: Diamantes | Img A77.jpeg,Inventario/Batch Jefa Local Joyeria/R13,alta,,
Anillo Ar12,anillo,Oro blanco 14k,Brillantes,,consignacion,17354,Tío Fer (joyería local),,Peso 5.4g | Precio Ellion 35000 | Diamantes: Brillantes | Img A66.jpeg,Inventario/Batch Jefa Local Joyeria/R14,alta,,
Anillo Ar13,anillo,Oro Amarillo 14k,Diamantes,,consignacion,18000,Tío Fer (joyería local),,Peso 3.8g | Precio Ellion 36000 | Diamantes: Diamantes | Img A88.jpeg,Inventario/Batch Jefa Local Joyeria/R15,alta,,
Anillo Ar14,anillo,Oro Blanco 14k,Baguettes,,consignacion,18000,Tío Fer (joyería local),,Peso 4.2g | Precio Ellion 36000 | Diamantes: Baguettes | Img A98.jpeg,Inventario/Batch Jefa Local Joyeria/R16,alta,,
Anillo Ar15,anillo,Oro blanco 14k,Diamantitos y zafiros,,consignacion,18000,Tío Fer (joyería local),,Peso 5.8g | Precio Ellion 36000 | Diamantes: Diamantitos y zafiros | Img A76.jpeg,Inventario/Batch Jefa Local Joyeria/R17,alta,,
Anillo An01,anillo,Oro Blanco 18k,Peridoto Verde,,consignacion,18160,Tío Fer (joyería local),,Peso 4.8g | Precio Ellion 37000 | Diamantes: Peridoto Verde | Img A100.jpeg,Inventario/Batch Jefa Local Joyeria/R18,alta,,
Aretes J2,material,Oro blanco 18k,Chispitas de diamante,,consignacion,20000,Tío Fer (joyería local),,Peso 9.5g | Precio Ellion 40000 | Diamantes: Chispitas de diamante | Img A45.jpeg,Inventario/Batch Jefa Local Joyeria/R19,alta,,
Aretes Ar16,material,Oro blanco 18k,Huggies,,consignacion,20000,Tío Fer (joyería local),,Peso 8g | Precio Ellion 40000 | Diamantes: Huggies | Img A47.jpeg,Inventario/Batch Jefa Local Joyeria/R20,alta,,
Anillo J3,anillo,Oro Amarillo 14k,Princess,,consignacion,20000,Tío Fer (joyería local),,Peso 3g | Precio Ellion 40000 | Diamantes: Princess | Img A99.jpeg,Inventario/Batch Jefa Local Joyeria/R21,alta,,
Anillo J4,anillo,Oro blanco 14k,Diamante central 0.45ct aprox,,consignacion,20000,Tío Fer (joyería local),,Peso 3.4g | Precio Ellion 40000 | Diamantes: Diamante central 0.45ct aprox | Img A71.jpeg,Inventario/Batch Jefa Local Joyeria/R22,alta,,
Anillo Ar17,anillo,Oro Amarillo 14k,Diamante central 0.4ct,,consignacion,20000,Tío Fer (joyería local),,Peso 3.8g | Precio Ellion 40000 | Diamantes: Diamante central 0.4ct | Img A87.jpeg,Inventario/Batch Jefa Local Joyeria/R23,alta,,
Anillo Ar18,anillo,Oro blanco 14k,Chispas blancas y negras,,consignacion,20000,Tío Fer (joyería local),,Peso 8g | Precio Ellion 40000 | Diamantes: Chispas blancas y negras | Img A62.jpeg,Inventario/Batch Jefa Local Joyeria/R24,alta,,
Pulsera J5,material,Oro Blanco 14k,Con chispitas,,consignacion,20000,Tío Fer (joyería local),,Peso 8.3g | Precio Ellion 40000 | Diamantes: Con chispitas | Img A127.jpeg,Inventario/Batch Jefa Local Joyeria/R25,alta,,
Aretes J6,material,Oro amarillo 14k,Rubies y brillantes,,consignacion,20900,Tío Fer (joyería local),,Peso 8g | Precio Ellion 42000 | Diamantes: Rubies y brillantes | Img A6.jpeg,Inventario/Batch Jefa Local Joyeria/R26,alta,,
Anillo y Aretes J7,anillo,Oro blanco 14k,Diamantes y zafiros,,consignacion,21000,Tío Fer (joyería local),,Peso 8.1g | Precio Ellion 42000 | Diamantes: Diamantes y zafiros | Img A28.jpeg,Inventario/Batch Jefa Local Joyeria/R27,alta,,
Anillo J8,anillo,Oro blanco 14k,Diamantes,,consignacion,22000,Tío Fer (joyería local),,Peso 3g | Precio Ellion 44000 | Diamantes: Diamantes | Img A63.jpeg,Inventario/Batch Jefa Local Joyeria/R28,alta,,
Anillo J9,anillo,Oro Blanco 14k,Brillantes,,consignacion,22300,Tío Fer (joyería local),,Peso 4.3g | Precio Ellion 45000 | Diamantes: Brillantes | Img A105.jpeg,Inventario/Batch Jefa Local Joyeria/R29,alta,,
Aretes J10,material,Oro blanco 14k,1.50ct brillantes,,consignacion,22763,Tío Fer (joyería local),,Peso 5.7g | Precio Ellion 46000 | Diamantes: 1.50ct brillantes | Img A5.jpeg,Inventario/Batch Jefa Local Joyeria/R30,alta,,
Aretes arracadas y anillo J11,anillo,Oro amarillo 14k,Brillantes,,consignacion,22666,Tío Fer (joyería local),,Peso 9.3g | Precio Ellion 46000 | Diamantes: Brillantes | Img A36.jpeg,Inventario/Batch Jefa Local Joyeria/R31,alta,,
Anillo y dije y aretes Ar19,anillo,Oro amarillo 14k,Chispas de diamante,,consignacion,23000,Tío Fer (joyería local),,Peso 9.6g | Precio Ellion 46000 | Diamantes: Chispas de diamante | Img A52.jpeg,Inventario/Batch Jefa Local Joyeria/R32,alta,,
Anillo y Aretes J12,anillo,Oro blanco 14k,Diamantes champagne y blancos,,consignacion,23212,Tío Fer (joyería local),,Peso 9.7g | Precio Ellion 47000 | Diamantes: Diamantes champagne y blancos | Img A25.jpeg,Inventario/Batch Jefa Local Joyeria/R33,alta,,
Aretes Ar20,material,Oro blanco 18k,Brillantes,,consignacion,16000,Tío Fer (joyería local),,Peso 3.3g | Precio Ellion 48000 | Diamantes: Brillantes | Img A48.jpeg,Inventario/Batch Jefa Local Joyeria/R34,alta,,
Anillo An02,anillo,Oro amarillo 18k,1ct brillantes,,consignacion,24260,Tío Fer (joyería local),,Peso 8.1g | Precio Ellion 49000 | Diamantes: 1ct brillantes | Img A58.jpeg,Inventario/Batch Jefa Local Joyeria/R35,alta,,
Aretes y dije Ar21,material,Oro blanco 14k,Chispas de diamante y calabazos,,consignacion,25000,Tío Fer (joyería local),,Peso 12.4g | Precio Ellion 50000 | Diamantes: Chispas de diamante y calabazos | Img A50.jpeg,Inventario/Batch Jefa Local Joyeria/R36,alta,,
Anillo J13,anillo,Oro blanco 14k,"Diamante central, 0.50ct",,consignacion,25000,Tío Fer (joyería local),,"Peso 2.7g | Precio Ellion 50000 | Diamantes: Diamante central, 0.50ct | Img A74.jpeg",Inventario/Batch Jefa Local Joyeria/R37,alta,,
Anillo Ar22,anillo,Oro blanco 14k,"Diamante central, 0.40ct",,consignacion,25000,Tío Fer (joyería local),,"Peso 3.3g | Precio Ellion 50000 | Diamantes: Diamante central, 0.40ct | Img A75.jpeg",Inventario/Batch Jefa Local Joyeria/R38,alta,,
Anillo Ar23,anillo,Oro blanco 14k,Diamantitos,,consignacion,24700,Tío Fer (joyería local),,Peso 5.5g | Precio Ellion 50000 | Diamantes: Diamantitos | Img A72.jpeg,Inventario/Batch Jefa Local Joyeria/R39,alta,,
Aretes J14,material,Oro blanco 14k,Diamantes baguette y princess,,consignacion,25200,Tío Fer (joyería local),,Peso 6.8g | Precio Ellion 51000 | Diamantes: Diamantes baguette y princess | Img A51.jpeg,Inventario/Batch Jefa Local Joyeria/R40,alta,,
Aretes Ar24,material,Oro amarillo 18k,Rubies chispitas de diamante,,consignacion,25700,Tío Fer (joyería local),,Peso 9.5g | Precio Ellion 52000 | Diamantes: Rubies chispitas de diamante | Img A44.jpeg,Inventario/Batch Jefa Local Joyeria/R41,alta,,
Pulsera J15,material,Oro Amarillo 14k,Diamantitos con peridotos verdes,,consignacion,26000,Tío Fer (joyería local),,Peso 9.2g | Precio Ellion 52000 | Diamantes: Diamantitos con peridotos verdes | Img A115.jpeg,Inventario/Batch Jefa Local Joyeria/R42,alta,,
Aretes y Dije Ar25,material,Oro amarillo 18k,Perlas cafes y chispa diamante,,consignacion,26200,Tío Fer (joyería local),,Peso 12.1g | Precio Ellion 53000 | Diamantes: Perlas cafes y chispa diamante | Img A29.jpeg,Inventario/Batch Jefa Local Joyeria/R43,alta,,
Aretes Ar26,material,Oro blanco 14k,Brillantes princess,,consignacion,27000,Tío Fer (joyería local),,Peso 12.4g | Precio Ellion 54000 | Diamantes: Brillantes princess | Img A55.jpeg,Inventario/Batch Jefa Local Joyeria/R44,alta,,
Anillo Ar27,anillo,Oro Amarillo 14k,Diamantes 0.4ct,,consignacion,27000,Tío Fer (joyería local),,Peso 3.9g | Precio Ellion 54000 | Diamantes: Diamantes 0.4ct | Img A94.jpeg,Inventario/Batch Jefa Local Joyeria/R45,alta,,
Anillo Ar28,anillo,Oro blanco 18k,"Brillantes, 1.25ct",,consignacion,27000,Tío Fer (joyería local),,"Peso 7.6g | Precio Ellion 54000 | Diamantes: Brillantes, 1.25ct | Img A56.jpeg",Inventario/Batch Jefa Local Joyeria/R46,alta,,
Pulsera Ar29,material,Oro Amarillo 14k,Tennis con diamantes,,consignacion,27000,Tío Fer (joyería local),,Peso 9.6g | Precio Ellion 54000 | Diamantes: Tennis con diamantes | Img A124.jpeg,Inventario/Batch Jefa Local Joyeria/R47,alta,,
Anillo Ar30,anillo,Oro amarillo 18k,Diamantes y esmeraldas,,consignacion,27800,Tío Fer (joyería local),,Peso 10.2g | Precio Ellion 56000 | Diamantes: Diamantes y esmeraldas | Img A17.jpeg,Inventario/Batch Jefa Local Joyeria/R48,alta,,
Anillo Ar31,anillo,Oro amarillio 14k,Rubies y diamantes,,consignacion,29000,Tío Fer (joyería local),,Peso 6.7g | Precio Ellion 58000 | Diamantes: Rubies y diamantes | Img A54.jpeg,Inventario/Batch Jefa Local Joyeria/R49,alta,,
Anillo J16,anillo,Oro Amarillo 14k,Diamante central,,consignacion,30000,Tío Fer (joyería local),,Peso 1.6g | Precio Ellion 60000 | Diamantes: Diamante central | Img A102.jpeg,Inventario/Batch Jefa Local Joyeria/R50,alta,,
Anillo J17,anillo,Oro Blanco 14k,Diamante central 0.3ct,,consignacion,30000,Tío Fer (joyería local),,Peso 2g | Precio Ellion 60000 | Diamantes: Diamante central 0.3ct | Img A81.jpeg,Inventario/Batch Jefa Local Joyeria/R51,alta,,
Anillo Ar32,anillo,Oro Amarillo 14k,Brillante 0.8ct,,consignacion,30000,Tío Fer (joyería local),,Peso 2g | Precio Ellion 60000 | Diamantes: Brillante 0.8ct | Img A107.jpeg,Inventario/Batch Jefa Local Joyeria/R52,alta,,
Anillo J18,anillo,Oro blanco 18k,Diamantes,,consignacion,29800,Tío Fer (joyería local),,Peso 11.3g | Precio Ellion 60000 | Diamantes: Diamantes | Img A60.jpeg,Inventario/Batch Jefa Local Joyeria/R53,alta,,
Aretes J19,material,Oro amarillo 14k,2ct diamantes,,consignacion,30215,Tío Fer (joyería local),,Peso 7.5g | Precio Ellion 61000 | Diamantes: 2ct diamantes | Img A23.jpeg,Inventario/Batch Jefa Local Joyeria/R54,alta,,
Anillo An03,anillo,Oro blanco 18k,Diamantes,,consignacion,30500,Tío Fer (joyería local),,Peso 6g | Precio Ellion 61000 | Diamantes: Diamantes | Img A69.jpeg,Inventario/Batch Jefa Local Joyeria/R55,alta,,
Juego aretes y Anillo Ar33,anillo,Oro blanco y amarillo 14k,"Brillantes, esmeraldas y topacio central",,consignacion,31000,Tío Fer (joyería local),,"Peso 15.4g | Precio Ellion 62000 | Diamantes: Brillantes, esmeraldas y topacio central | Img A18.jpeg",Inventario/Batch Jefa Local Joyeria/R56,alta,,
Anillo An04,anillo,Oro blanco 18k y Platino,1ct brillantes,,consignacion,31000,Tío Fer (joyería local),,Peso 6.1g | Precio Ellion 62000 | Diamantes: 1ct brillantes | Img A97.jpeg,Inventario/Batch Jefa Local Joyeria/R57,alta,,
Anillo An05,anillo,Oro Amarillo 14k,Rubí 5ct,,consignacion,31000,Tío Fer (joyería local),,Peso 6.4g | Precio Ellion 62000 | Diamantes: Rubí 5ct | Img A91.jpeg,Inventario/Batch Jefa Local Joyeria/R58,alta,,
Anillo An06,anillo,Oro blanco 14k,Diamantes,,consignacion,31400,Tío Fer (joyería local),,Peso 6.5g | Precio Ellion 63000 | Diamantes: Diamantes | Img A68.jpeg,Inventario/Batch Jefa Local Joyeria/R59,alta,,
Anillo An07,anillo,Oro amarillo 18k,"Diamante central, 0.52ct",,consignacion,31700,Tío Fer (joyería local),,"Peso 3.8g | Precio Ellion 64000 | Diamantes: Diamante central, 0.52ct | Img A73.jpeg",Inventario/Batch Jefa Local Joyeria/R60,alta,,
Anillo An08,anillo,Oro Blanco 18k,Brillantes princess,,consignacion,32000,Tío Fer (joyería local),,Peso 10.2g | Precio Ellion 64000 | Diamantes: Brillantes princess | Img A104.jpeg,Inventario/Batch Jefa Local Joyeria/R61,alta,,
Aretes An09,material,Oro blanco 18k,1.12ct aprox brillantes,,consignacion,32200,Tío Fer (joyería local),,Peso 12.2g | Precio Ellion 65000 | Diamantes: 1.12ct aprox brillantes | Img A3.jpeg,Inventario/Batch Jefa Local Joyeria/R62,alta,,
Aretes An10,material,Oro amarillo 18k,Brillantes redondos y baguette,,consignacion,34900,Tío Fer (joyería local),,Peso 10.9g | Precio Ellion 70000 | Diamantes: Brillantes redondos y baguette | Img A40.jpeg,Inventario/Batch Jefa Local Joyeria/R63,alta,,
Aretes An11,material,Oro amarillo 14k,2ct diamantes,,consignacion,35390,Tío Fer (joyería local),,Peso 11.2g | Precio Ellion 71000 | Diamantes: 2ct diamantes | Img A22.jpeg,Inventario/Batch Jefa Local Joyeria/R64,alta,,
Anillo An12,anillo,Oro blanco 14k,Diamantes y zafiros,,consignacion,35400,Tío Fer (joyería local),,Peso 11.3g | Precio Ellion 71000 | Diamantes: Diamantes y zafiros | Img A67.jpeg,Inventario/Batch Jefa Local Joyeria/R65,alta,,
Aretes dije An13,material,Oro blanco 14k,Diamantes cuadrados y baguette,,consignacion,36000,Tío Fer (joyería local),,Peso 11.8g | Precio Ellion 72000 | Diamantes: Diamantes cuadrados y baguette | Img A39.jpeg,Inventario/Batch Jefa Local Joyeria/R66,alta,,
Anillo An14,anillo,Oro Amarillo 14k,Diamantes y rubíes,,consignacion,36000,Tío Fer (joyería local),,Peso 6.1g | Precio Ellion 72000 | Diamantes: Diamantes y rubíes | Img A92.jpeg,Inventario/Batch Jefa Local Joyeria/R67,alta,,
Aretes An15,material,Oro blanco 14k,Brillantes,,consignacion,36500,Tío Fer (joyería local),,Peso 15.8g | Precio Ellion 73000 | Diamantes: Brillantes | Img A33.jpeg,Inventario/Batch Jefa Local Joyeria/R68,alta,,
Aretes An16,material,Oro amarillo 18k,Zafiros y brillantes,,consignacion,38000,Tío Fer (joyería local),,Peso 10.3g | Precio Ellion 76000 | Diamantes: Zafiros y brillantes | Img A10.jpeg,Inventario/Batch Jefa Local Joyeria/R69,alta,,
Anillo An17,anillo,Oro amarillo 18k,Rubis y diamantes,,consignacion,37520,Tío Fer (joyería local),,Peso 10g | Precio Ellion 76000 | Diamantes: Rubis y diamantes | Img A59.jpeg,Inventario/Batch Jefa Local Joyeria/R70,alta,,
Aretes An18,material,Oro blanco 18k,Brillantes cuadrados y redondos,,consignacion,38400,Tío Fer (joyería local),,Peso 10.5g | Precio Ellion 77000 | Diamantes: Brillantes cuadrados y redondos | Img A37.jpeg,Inventario/Batch Jefa Local Joyeria/R71,alta,,
Anillo An19,anillo,Oro amarillo 18k,"Brillante 0.65ct, 1ct alrededor",,consignacion,39000,Tío Fer (joyería local),,"Peso 5.7g | Precio Ellion 78000 | Diamantes: Brillante 0.65ct, 1ct alrededor | Img A89.jpeg",Inventario/Batch Jefa Local Joyeria/R72,alta,,
Anillo An20,anillo,Oro Blanco 14k,Diamantes,,consignacion,39000,Tío Fer (joyería local),,Peso 8g | Precio Ellion 78000 | Diamantes: Diamantes | Img A103.jpeg,Inventario/Batch Jefa Local Joyeria/R73,alta,,
Anillo An21,anillo,Oro Blanco 14k,Con perla negra,,consignacion,39000,Tío Fer (joyería local),,Peso 10.8g | Precio Ellion 78000 | Diamantes: Con perla negra | Img A83.jpeg,Inventario/Batch Jefa Local Joyeria/R74,alta,,
Aretes An22,material,Oro blanco 14k,Dos brillantes .5ct al centro con halo brillantes,,consignacion,40000,Tío Fer (joyería local),,Peso 7.1g | Precio Ellion 80000 | Diamantes: Dos brillantes .5ct al centro con halo brillantes | Img A42.jpeg,Inventario/Batch Jefa Local Joyeria/R75,alta,,
Pulsera An23,material,Oro Blanco 14k,Diamantes y Perlas de colores,,consignacion,40000,Tío Fer (joyería local),,Peso 14g | Precio Ellion 80000 | Diamantes: Diamantes y Perlas de colores | Img A113.jpeg,Inventario/Batch Jefa Local Joyeria/R76,alta,,
Pulsera An24,material,Oro Amarillo 18k,Con brillantes,,consignacion,41000,Tío Fer (joyería local),,Peso 11.8g | Precio Ellion 82000 | Diamantes: Con brillantes | Img A123.jpeg,Inventario/Batch Jefa Local Joyeria/R77,alta,,
Anillo An25,anillo,Oro Blanco 18k,Diamantes cuadrados y redondos,,consignacion,43800,Tío Fer (joyería local),,Peso 10.7g | Precio Ellion 88000 | Diamantes: Diamantes cuadrados y redondos | Img A101.jpeg,Inventario/Batch Jefa Local Joyeria/R78,alta,,
Aretes An26,material,Oro blanco 14k,2ct aprox brillantes,,consignacion,44243,Tío Fer (joyería local),,Peso 17.8g | Precio Ellion 89000 | Diamantes: 2ct aprox brillantes | Img A2.jpeg,Inventario/Batch Jefa Local Joyeria/R79,alta,,
Anillo An27,anillo,Oro Amarillo 14k,Esmeralda,,consignacion,45000,Tío Fer (joyería local),,Peso 12.6g | Precio Ellion 90000 | Diamantes: Esmeralda | Img A79.jpeg,Inventario/Batch Jefa Local Joyeria/R80,alta,,
Aretes An28,material,Oro amarillo 14k,2ct Diamante,,consignacion,45600,Tío Fer (joyería local),,Peso 18.8g | Precio Ellion 92000 | Diamantes: 2ct Diamante | Img A31.jpeg,Inventario/Batch Jefa Local Joyeria/R81,alta,,
Aretes dije An29,material,Oro blanco 14k,Perlas grises diamantes,,consignacion,46000,Tío Fer (joyería local),,Peso 23.2g | Precio Ellion 92000 | Diamantes: Perlas grises diamantes | Img A32.jpeg,Inventario/Batch Jefa Local Joyeria/R82,alta,,
Pulsera An30,material,Oro Amarillo 18k,Diamantitos,,consignacion,45700,Tío Fer (joyería local),,Peso 20.4g | Precio Ellion 92000 | Diamantes: Diamantitos | Img A120.jpeg,Inventario/Batch Jefa Local Joyeria/R83,alta,,
Anillo An31,anillo,Oro blanco 18k,2.32ct diamante,,consignacion,47000,Tío Fer (joyería local),,Peso 13.8g | Precio Ellion 94000 | Diamantes: 2.32ct diamante | Img A57.jpeg,Inventario/Batch Jefa Local Joyeria/R84,alta,,
Anillo An32,anillo,Oro Amarillo 18k,"Oro amarillo, piedra de color (maybe topacio)",,consignacion,48000,Tío Fer (joyería local),,"Peso 15.6g | Precio Ellion 96000 | Diamantes: Oro amarillo, piedra de color (maybe topacio) | Img A85.jpeg",Inventario/Batch Jefa Local Joyeria/R85,alta,,
Aretes An33,material,Oro blanco 18k,Brillantes 1.5ct,,consignacion,48900,Tío Fer (joyería local),,Peso 19.2g | Precio Ellion 98000 | Diamantes: Brillantes 1.5ct | Img A16.jpeg,Inventario/Batch Jefa Local Joyeria/R86,alta,,
Aretes y dije An34,material,Oro blanco 14k,Rubies y diamantes,,consignacion,49000,Tío Fer (joyería local),,Peso 21.3g | Precio Ellion 98000 | Diamantes: Rubies y diamantes | Img A53.jpeg,Inventario/Batch Jefa Local Joyeria/R87,alta,,
Aretes An35,material,Oro amarillo 18k,Piedras color topaz central,,consignacion,50000,Tío Fer (joyería local),,Peso 15.2g | Precio Ellion 100000 | Diamantes: Piedras color topaz central | Img A8.jpeg,Inventario/Batch Jefa Local Joyeria/R88,alta,,
Anillo y Aretes An36,anillo,Oro blanco 18k,Brillantes y piedra color,,consignacion,50000,Tío Fer (joyería local),,Peso 21g | Precio Ellion 100000 | Diamantes: Brillantes y piedra color | Img A27.jpeg,Inventario/Batch Jefa Local Joyeria/R89,alta,,
Anillo An37,anillo,Oro Amarillo 14k,Diamantes y rubí central,,consignacion,50000,Tío Fer (joyería local),,Peso 11.8g | Precio Ellion 100000 | Diamantes: Diamantes y rubí central | Img A93.jpeg,Inventario/Batch Jefa Local Joyeria/R90,alta,,
Pulsera An38,material,Oro Amarillo 14k,Tennis con diamantes,,consignacion,50000,Tío Fer (joyería local),,Peso 11.5g | Precio Ellion 100000 | Diamantes: Tennis con diamantes | Img A116.jpeg,Inventario/Batch Jefa Local Joyeria/R91,alta,,
Aretes An39,material,Oro blanco y amarillo 18k,2ct brillantes,,consignacion,50309,Tío Fer (joyería local),,Peso 17.3g | Precio Ellion 101000 | Diamantes: 2ct brillantes | Img A38.jpeg,Inventario/Batch Jefa Local Joyeria/R92,alta,,
Anillo An40,anillo,Oro Blanco 18k,2ct brillantes,,consignacion,50700,Tío Fer (joyería local),,Peso 14.7g | Precio Ellion 102000 | Diamantes: 2ct brillantes | Img A86.jpeg,Inventario/Batch Jefa Local Joyeria/R93,alta,,
Anillo An40,anillo,Oro combinado 14k,Diamantes zafiros y rubies,,consignacion,52000,Tío Fer (joyería local),,Peso 12.3g | Precio Ellion 104000 | Diamantes: Diamantes zafiros y rubies | Img A95.jpeg,Inventario/Batch Jefa Local Joyeria/R94,alta,,
Anillo An41,anillo,Oro amarillo 18k,"Diamantes blancos, amarillos y esmeralda al centro",,consignacion,52500,Tío Fer (joyería local),,"Peso 15.5g | Precio Ellion 105000 | Diamantes: Diamantes blancos, amarillos y esmeralda al centro | Img A65.jpeg",Inventario/Batch Jefa Local Joyeria/R95,alta,,
Aretes An42,material,Oro amarillo 14k,3.6ct brillantes,,consignacion,52800,Tío Fer (joyería local),,Peso 12.4g | Precio Ellion 106000 | Diamantes: 3.6ct brillantes | Img A9.jpeg,Inventario/Batch Jefa Local Joyeria/R96,alta,,
Anillo An43,anillo,Oro blanco 18k,Diamantes,,consignacion,52520,Tío Fer (joyería local),,Peso 10g | Precio Ellion 106000 | Diamantes: Diamantes | Img A64.jpeg,Inventario/Batch Jefa Local Joyeria/R97,alta,,
Anillo An44,anillo,Oro Blanco 18k,2ct diamantes,,consignacion,53000,Tío Fer (joyería local),,Peso 15.9g | Precio Ellion 106000 | Diamantes: 2ct diamantes | Img A90.jpeg,Inventario/Batch Jefa Local Joyeria/R98,alta,,
Aretes An45,material,Oro blanco 14k,"Brillantes .50ct cada uno centrales, con brillantes a los lados",,consignacion,55000,Tío Fer (joyería local),,"Peso 11g | Precio Ellion 110000 | Diamantes: Brillantes .50ct cada uno centrales, con brillantes a los lados | Img A35.jpeg",Inventario/Batch Jefa Local Joyeria/R99,alta,,
Aretes anillo gargantilla y pulsera An46,anillo,Oro blanco 14k,Diamantes y citrino,,consignacion,55354,Tío Fer (joyería local),,Peso 33g | Precio Ellion 111000 | Diamantes: Diamantes y citrino | Img A24.jpeg,Inventario/Batch Jefa Local Joyeria/R100,alta,,
Aretes An47,material,Oro amarillo 18k,Brillantes champagne y blanco 3ct,,consignacion,56800,Tío Fer (joyería local),,Peso 15.3g | Precio Ellion 114000 | Diamantes: Brillantes champagne y blanco 3ct | Img A7.jpeg,Inventario/Batch Jefa Local Joyeria/R101,alta,,
Aretes An48,material,Oro amarillo 18k,2.5ct diamantes,,consignacion,56536,Tío Fer (joyería local),,Peso 18g | Precio Ellion 114000 | Diamantes: 2.5ct diamantes | Img A19.jpeg,Inventario/Batch Jefa Local Joyeria/R102,alta,,
Aretes dije An49,material,Oro blanco 18k,2.5ct Brillantes,,consignacion,57300,Tío Fer (joyería local),,Peso 18.4g | Precio Ellion 115000 | Diamantes: 2.5ct Brillantes | Img A41.jpeg,Inventario/Batch Jefa Local Joyeria/R103,alta,,
Pulsera An50,material,Oro Blanco 14k,Diamantes 2ct aprox,,consignacion,58500,Tío Fer (joyería local),,Peso 19.1g | Precio Ellion 117000 | Diamantes: Diamantes 2ct aprox | Img A114.jpeg,Inventario/Batch Jefa Local Joyeria/R104,alta,,
Aretes An51,material,Combinado 14k,Brillantes,,consignacion,58544,Tío Fer (joyería local),,Peso 22g | Precio Ellion 118000 | Diamantes: Brillantes | Img A14.jpeg,Inventario/Batch Jefa Local Joyeria/R105,alta,,
